Frame Number,Equation Line AB,Equation Line AC,Angle A,Angle B,Angle C
123,y = -0.13x + 406.69,y = -0.01x + 386.92,85.338474388177,42.680922207284446,51.98060340453857
124,y = 1.34x + 142.53,y = -0.14x + 420.55,94.47075942476464,41.33309215447269,44.196148420762675
125,y = 0.83x + 227.35,y = -0.16x + 425.63,99.30127927500746,39.81036729486391,40.88835343012865
126,y = 0.78x + 231.64,y = -0.17x + 424.32,101.45089182164647,41.11954475504123,37.429563423312324
127,y = 0.69x + 241.93,y = -0.17x + 424.48,105.71283058753566,42.370566041460876,31.91660337100347
128,y = 0.72x + 233.95,y = -0.18x + 425.30,111.86575283650932,44.579222931051746,23.55502423243895
129,y = 0.58x + 256.15,y = -0.15x + 411.27,117.22744999537841,43.11038666805236,19.66216333656923
130,y = 0.47x + 273.79,y = -0.11x + 396.14,124.76033733065785,40.77755156049501,14.46211110884714
131,y = 0.37x + 288.28,y = -0.08x + 384.49,143.81045932286003,28.95385587432828,7.235684802811698
132,y = 0.28x + 304.43,y = -0.06x + 375.10,157.8607575510416,18.04303404219263,4.096208406765793
133,y = 0.22x + 315.12,y = -0.05x + 370.29,148.86930546690888,24.834257666835313,6.2964368662557195
134,y = 0.21x + 314.06,y = -0.05x + 368.55,125.76635209592384,40.40199530301452,13.831652601061663
135,y = 0.23x + 311.69,y = -0.05x + 368.85,119.34476703462255,43.46325019903864,17.191982766338803
136,y = 0.21x + 312.11,y = -0.04x + 365.29,107.2642324636029,43.92747184235471,28.808295694042414
137,y = 0.27x + 299.07,y = -0.05x + 366.11,108.14744960964785,45.233851335651046,26.61869905470112
138,y = 0.35x + 283.88,y = -0.06x + 366.34,103.72353764467604,47.59122292240472,28.685239432919243
139,y = 0.37x + 281.41,y = -0.04x + 360.45,100.56612154727829,52.74931083068253,26.684567622039193
140,y = -0.04x + 355.51,y = -0.00x + 348.12,87.59235760662705,64.59480730919505,27.812835084177937
141,y = 0.24x + 303.97,y = 0.00x + 348.75,89.85665510109153,63.179640627217054,26.963704271691416
142,y = 0.37x + 281.97,y = 0.02x + 342.26,78.85601327925343,81.66155455229331,19.482432168453286
143,y = 0.61x + 235.92,y = 0.04x + 335.97,67.20003083501507,102.66565762500548,10.134311539979407
144,y = 0.42x + 272.35,y = 0.04x + 336.70,54.137714073570514,116.6131217419632,9.249164184466327
145,y = 0.45x + 266.94,y = 0.04x + 336.35,31.258025382931052,144.83475266403727,3.907221953031864
146,y = 0.50x + 257.56,y = 0.04x + 338.12,67.8525415843505,100.06351693864379,12.083941477005704
147,y = 0.58x + 242.48,y = 0.04x + 339.37,77.6415305430977,85.44455183812539,16.913917618776935
148,y = 0.71x + 218.94,y = 0.03x + 340.34,82.47001530338169,77.29982600940258,20.23015868721572
149,y = 0.90x + 182.99,y = 0.03x + 340.48,85.24921553476139,70.65950965832444,24.091274806914154
150,y = 1.10x + 145.77,y = 0.03x + 340.85,86.17080615410403,70.29689113503943,23.53230271085656
151,y = 1.26x + 115.42,y = 0.03x + 341.00,86.87535891474899,68.61193435411938,24.512706731131665
152,y = 1.34x + 101.57,y = 0.03x + 341.44,86.84943878130098,70.99343334737118,22.157127871327855
153,y = 1.50x + 70.63,y = 0.03x + 341.81,87.18991907562845,71.64460145270667,21.165479471664884
154,y = 1.54x + 63.57,y = 0.03x + 341.97,87.21749506543962,72.31020560275046,20.47229933180992
155,y = 1.62x + 48.61,y = 0.03x + 342.20,87.53250081930254,71.26471803955232,21.202781141145135
156,y = 1.67x + 38.67,y = 0.02x + 342.39,87.71473170563267,70.80107731481328,21.48419097955405
157,y = 1.69x + 35.24,y = 0.02x + 342.45,87.71668093735738,71.22847524723072,21.054843815411896
158,y = 1.72x + 29.98,y = 0.02x + 342.49,87.77085062394438,71.17833764405923,21.050811731996415
159,y = 1.73x + 28.71,y = 0.02x + 342.38,87.71799662697742,71.55443801873155,20.727565354291023
160,y = 1.73x + 28.25,y = 0.02x + 342.31,87.64325711486546,72.19821688256772,20.158526002566834
161,y = 1.74x + 26.48,y = 0.02x + 342.49,87.90949375354293,70.48038390886829,21.61012233758877
162,y = 1.70x + 33.86,y = 0.02x + 342.48,87.91937872372777,69.98117672206253,22.09944455420973
163,y = 1.71x + 31.26,y = 0.02x + 342.58,88.09249910494592,68.66549189389528,23.242009001158788
164,y = 1.73x + 28.12,y = 0.02x + 342.61,88.16529350938963,68.13714799430964,23.697558496300754
165,y = 1.78x + 17.93,y = 0.02x + 342.66,88.31736288435637,66.98254963822227,24.700087477421366
166,y = 1.77x + 20.06,y = 0.02x + 342.70,88.3017904113878,67.23768687847985,24.46052271013237
167,y = 1.75x + 22.69,y = 0.02x + 342.59,88.29016962253142,66.96400706587326,24.745823311595323
168,y = 1.72x + 29.04,y = 0.02x + 342.58,88.22687068358285,67.41970079236086,24.35342852405629
169,y = 1.70x + 33.74,y = 0.02x + 342.54,88.20096458726675,67.29384666444548,24.50518874828774
170,y = 1.66x + 39.80,y = 0.02x + 342.50,88.1542104429754,67.38140194355842,24.464387613466208
