Frame,Line1 Equation,Line2 Equation,Angle A (degrees),Angle B (degrees),Angle C (degrees)
171,y = 0.21x + 415.22,y = -0.01x + 450.08,167.64889636549853,11.798167639275773,0.5529359952256971
172,y = 0.22x + 413.55,y = -0.01x + 450.08,167.054703211104,12.39455939835566,0.5507373905403412
173,y = 0.23x + 412.65,y = -0.01x + 450.08,166.73447179430136,12.71484476866837,0.5506834370302744
174,y = 0.23x + 412.64,y = -0.01x + 450.08,166.73035382518424,12.720028319800472,0.5496178550152901
175,y = 0.23x + 412.66,y = -0.01x + 450.08,166.73730515088732,12.714790019147372,0.5479048299653044
176,y = 0.23x + 412.00,y = -0.01x + 450.08,166.50385922019012,12.95154060723129,0.544600172578587
177,y = 0.23x + 411.92,y = -0.01x + 450.09,166.47502794798612,12.980938392494668,0.5440336595192115
178,y = 0.23x + 412.08,y = -0.01x + 450.12,166.5190125994266,12.933096058997597,0.5478913415758146
179,y = 0.22x + 413.59,y = -0.01x + 450.15,167.0464206777914,12.401816815171296,0.5517625070373153
180,y = 0.22x + 413.67,y = -0.01x + 450.16,167.07333573082647,12.37529292496836,0.5513713442051689
181,y = 0.32x + 398.57,y = -0.01x + 450.21,161.71366282323257,17.72368957305135,0.5626476037160835
182,y = 0.30x + 400.97,y = -0.01x + 450.20,162.54983947932112,16.891046859673462,0.5591136610054157
183,y = 0.28x + 404.66,y = -0.01x + 450.19,163.8396547721904,15.60320086497091,0.5571443628386756
184,y = 0.39x + 388.24,y = -0.01x + 450.19,158.23836156726063,21.20336104887667,0.5582773838627055
185,y = 0.33x + 397.03,y = -0.01x + 450.20,161.19864880967663,18.243586363536213,0.5577648267871602
186,y = 0.46x + 377.52,y = -0.01x + 450.22,154.80355871385885,24.632728105118492,0.5637131810226599
187,y = 0.36x + 392.33,y = -0.01x + 450.22,159.6192825297878,19.819540094051813,0.5611773761603907
188,y = 0.34x + 396.12,y = -0.01x + 450.22,160.90375577050935,18.536752895014498,0.559491334476153
189,y = 0.31x + 400.48,y = -0.01x + 450.22,162.4027035431424,17.03954511841571,0.5577513384418964
190,y = 0.29x + 402.95,y = -0.01x + 450.22,163.2604522010806,16.183158783672145,0.5563890152472588
